               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1194,            0.027973,            0.052645,           0.0007895,             0.20034,          0.00096113,           0.0002305,             0.10884,             0.02146,            0.050746,              0.0892,              0.0012,              0.0012
                   1,             0.10626,             0.02369,             0.04725,           0.0011003,             0.28082,           0.0030509,          0.00075588,             0.10226,            0.015525,            0.046698,            0.077484,           0.0024835,           0.0024835
                   2,            0.098005,            0.021676,            0.040571,           0.0023889,             0.53041,            0.028148,           0.0054491,            0.095084,            0.011859,            0.038939,             0.06575,           0.0037498,           0.0037498
                   3,            0.085397,            0.019616,            0.032666,           0.0019048,             0.54108,            0.027797,           0.0066786,            0.094545,            0.009524,            0.031534,            0.053999,            0.004999,            0.004999
                   4,            0.080165,            0.018543,            0.027922,            0.061555,             0.13772,            0.060829,               0.014,            0.086747,           0.0095449,            0.027236,            0.042231,            0.006231,            0.006231
                   5,            0.074879,            0.018991,            0.022542,             0.85624,            0.083333,            0.091856,            0.024956,             0.08564,           0.0088967,            0.023434,            0.030446,           0.0074459,           0.0074459
                   6,            0.073701,            0.018012,            0.020721,             0.85581,            0.083333,            0.096585,            0.023044,            0.082284,           0.0088386,            0.022426,            0.018644,           0.0086436,           0.0086436
                   7,            0.071283,             0.01754,            0.017361,             0.82202,            0.068182,            0.070316,            0.018308,            0.088586,           0.0083197,            0.020443,            0.009538,            0.009538,            0.009538
                   8,            0.069126,            0.018366,            0.017903,             0.56542,             0.20402,             0.12697,            0.041515,            0.076347,           0.0091774,            0.019096,            0.009538,            0.009538,            0.009538
                   9,            0.061606,            0.019435,            0.016799,             0.32312,             0.21142,            0.094431,            0.029948,            0.080328,           0.0089351,            0.015987,            0.009472,            0.009472,            0.009472
                  10,            0.065951,            0.015863,            0.012447,             0.28664,             0.23337,             0.14981,            0.045651,             0.08559,           0.0081496,            0.015265,            0.009406,            0.009406,            0.009406
                  11,            0.060639,            0.016282,            0.015853,             0.38903,             0.20978,             0.16976,            0.046321,            0.080441,           0.0085866,            0.015497,             0.00934,             0.00934,             0.00934
                  12,            0.059303,            0.016874,            0.012434,             0.44254,              0.2804,             0.15441,             0.05307,            0.084178,           0.0079946,            0.016004,            0.009274,            0.009274,            0.009274
                  13,            0.056356,            0.015393,            0.010884,             0.31407,             0.50019,             0.26667,              0.0761,            0.077931,           0.0081785,             0.01559,            0.009208,            0.009208,            0.009208
                  14,            0.053594,            0.015476,            0.010654,               0.187,             0.29371,             0.24241,            0.073212,            0.074213,           0.0085238,            0.015563,            0.009142,            0.009142,            0.009142
                  15,            0.054103,            0.014567,            0.012316,             0.26398,             0.38164,             0.21178,            0.066134,            0.086203,           0.0081061,            0.014855,            0.009076,            0.009076,            0.009076
                  16,            0.054799,            0.013786,            0.010346,             0.32931,              0.4056,             0.33625,             0.11506,              0.0745,           0.0083001,            0.014311,             0.00901,             0.00901,             0.00901
                  17,            0.051267,            0.015038,           0.0088582,             0.29708,             0.37113,              0.2878,            0.084788,             0.08015,           0.0082516,            0.014093,            0.008944,            0.008944,            0.008944
                  18,            0.051221,            0.015007,           0.0081807,             0.43084,             0.35451,             0.36702,            0.098477,            0.066995,           0.0084929,            0.013461,            0.008878,            0.008878,            0.008878
                  19,            0.047361,            0.013983,           0.0086416,             0.40195,             0.45545,             0.37106,             0.13508,            0.069472,           0.0081361,            0.013363,            0.008812,            0.008812,            0.008812
                  20,            0.050202,            0.013643,           0.0075763,             0.45013,             0.42895,             0.39761,             0.16373,            0.068766,           0.0078164,            0.013842,            0.008746,            0.008746,            0.008746
                  21,            0.046742,            0.013274,           0.0077015,             0.48934,              0.5172,             0.43115,             0.14499,            0.070789,            0.007796,            0.011774,             0.00868,             0.00868,             0.00868
                  22,            0.046667,            0.012364,           0.0079372,             0.46103,             0.46851,             0.40771,             0.13825,            0.072749,           0.0075155,             0.01099,            0.008614,            0.008614,            0.008614
                  23,            0.047898,            0.012906,           0.0081225,             0.28178,             0.36175,              0.2749,            0.080382,            0.076443,           0.0072026,            0.010365,            0.008548,            0.008548,            0.008548
                  24,            0.043386,            0.012119,           0.0075637,             0.46056,             0.47831,             0.44578,             0.15167,            0.064093,            0.007737,            0.010178,            0.008482,            0.008482,            0.008482
                  25,            0.043775,            0.012557,            0.006374,             0.39593,             0.48119,             0.38769,             0.12375,            0.075614,           0.0078333,           0.0098816,            0.008416,            0.008416,            0.008416
                  26,            0.043551,             0.01141,           0.0058235,             0.53996,             0.55261,             0.52407,             0.21776,            0.062439,           0.0075581,            0.010766,             0.00835,             0.00835,             0.00835
                  27,            0.044686,            0.011586,           0.0050576,             0.33903,             0.43353,             0.35007,             0.14812,            0.072472,           0.0070781,            0.011469,            0.008284,            0.008284,            0.008284
                  28,            0.044076,            0.011681,           0.0068216,              0.7491,             0.48169,             0.58929,             0.24513,            0.062972,           0.0071087,            0.011993,            0.008218,            0.008218,            0.008218
                  29,            0.041692,            0.011043,           0.0060726,             0.66905,             0.40869,             0.48492,             0.19849,            0.064989,           0.0074342,             0.01306,            0.008152,            0.008152,            0.008152
                  30,             0.03945,            0.011578,           0.0051035,             0.54541,             0.53464,             0.50296,             0.20566,            0.066864,           0.0074495,            0.012438,            0.008086,            0.008086,            0.008086
                  31,            0.040435,            0.010336,           0.0059381,             0.64113,              0.5544,             0.55729,             0.23683,            0.064617,           0.0069466,            0.013641,             0.00802,             0.00802,             0.00802
                  32,            0.039704,            0.011111,           0.0049158,             0.59736,             0.61466,              0.5835,             0.24183,            0.062564,           0.0070961,            0.013653,            0.007954,            0.007954,            0.007954
                  33,            0.041232,           0.0098456,           0.0042115,             0.55958,             0.55818,             0.52905,             0.17627,            0.070775,           0.0071659,            0.012175,            0.007888,            0.007888,            0.007888
                  34,            0.039958,             0.01031,           0.0064875,              0.6471,             0.51258,              0.5634,             0.23189,            0.062491,           0.0074811,            0.011807,            0.007822,            0.007822,            0.007822
                  35,            0.039883,            0.010069,           0.0059005,             0.63276,             0.45261,             0.48742,             0.17662,             0.06618,           0.0073833,            0.010966,            0.007756,            0.007756,            0.007756
                  36,            0.040357,            0.010876,            0.005076,             0.61624,             0.53171,             0.55283,             0.21182,            0.060408,           0.0076933,            0.010697,             0.00769,             0.00769,             0.00769
                  37,            0.038299,            0.010432,           0.0041341,               0.497,             0.56384,             0.51006,             0.21072,            0.062193,           0.0073926,           0.0095193,            0.007624,            0.007624,            0.007624
                  38,            0.039561,            0.010315,           0.0039767,             0.53667,             0.48723,             0.50743,             0.19128,            0.064471,           0.0075008,           0.0092703,            0.007558,            0.007558,            0.007558
                  39,            0.039488,            0.009802,            0.004529,             0.53757,             0.53627,             0.52169,             0.19668,            0.061254,           0.0071681,            0.010193,            0.007492,            0.007492,            0.007492
                  40,            0.040001,            0.010045,           0.0057089,             0.45861,             0.40757,             0.41764,             0.13005,            0.070282,           0.0071824,            0.010178,            0.007426,            0.007426,            0.007426
                  41,             0.03788,            0.010031,           0.0048056,             0.58703,             0.59387,             0.55514,             0.21804,            0.058192,           0.0076652,           0.0095309,             0.00736,             0.00736,             0.00736
                  42,            0.037001,            0.010219,             0.00515,             0.60832,             0.55358,             0.53554,             0.22392,            0.066911,           0.0072319,            0.010696,            0.007294,            0.007294,            0.007294
                  43,            0.036214,           0.0094119,           0.0048744,              0.6389,             0.58237,             0.59597,             0.25148,            0.060691,            0.007353,            0.010066,            0.007228,            0.007228,            0.007228
                  44,            0.034771,           0.0093981,           0.0032876,             0.55472,             0.56082,             0.54675,             0.18668,            0.067383,           0.0068004,           0.0099347,            0.007162,            0.007162,            0.007162
                  45,            0.035707,           0.0094176,           0.0030189,             0.73851,             0.60715,             0.64784,             0.26221,            0.059441,           0.0070652,            0.010386,            0.007096,            0.007096,            0.007096
                  46,            0.035325,           0.0093622,           0.0044856,             0.69232,             0.53012,             0.56907,             0.24036,            0.062434,           0.0070488,            0.010407,             0.00703,             0.00703,             0.00703
                  47,            0.035799,            0.010192,           0.0044263,             0.69568,             0.55665,             0.59422,              0.2202,            0.064107,           0.0071192,            0.011219,            0.006964,            0.006964,            0.006964
                  48,            0.032942,           0.0095514,           0.0037087,             0.69036,             0.53774,             0.59587,             0.22766,            0.062528,           0.0069609,             0.01114,            0.006898,            0.006898,            0.006898
                  49,            0.035309,           0.0092287,           0.0036108,             0.74767,             0.56479,             0.64498,             0.28301,              0.0582,           0.0071467,            0.011929,            0.006832,            0.006832,            0.006832
                  50,             0.03236,           0.0097013,           0.0036372,             0.69355,             0.59078,             0.63366,             0.26447,            0.062559,           0.0067047,            0.012175,            0.006766,            0.006766,            0.006766
                  51,            0.032441,           0.0091315,           0.0038372,             0.74068,             0.60578,             0.64929,             0.25586,             0.06479,           0.0065252,             0.01166,              0.0067,              0.0067,              0.0067
                  52,            0.034924,           0.0084614,           0.0034956,             0.68836,             0.59726,             0.59493,             0.25033,            0.068336,           0.0065361,            0.011249,            0.006634,            0.006634,            0.006634
                  53,            0.033605,           0.0089562,            0.004588,             0.85047,             0.53931,             0.64077,             0.25718,            0.062896,           0.0067962,            0.010648,            0.006568,            0.006568,            0.006568
                  54,            0.031914,            0.008734,           0.0032513,              0.6867,             0.53109,             0.55696,             0.22705,            0.066484,           0.0068576,            0.010665,            0.006502,            0.006502,            0.006502
                  55,            0.031899,           0.0087876,           0.0041889,             0.62286,             0.52038,             0.49147,             0.20756,            0.067054,            0.006698,            0.010992,            0.006436,            0.006436,            0.006436
                  56,            0.032512,           0.0085039,           0.0036267,             0.64297,             0.53302,             0.57013,             0.20467,            0.064742,           0.0066307,            0.011088,             0.00637,             0.00637,             0.00637
                  57,            0.032076,           0.0089074,           0.0034349,              0.7348,             0.55573,             0.59774,             0.23275,            0.064942,            0.006867,            0.010791,            0.006304,            0.006304,            0.006304
                  58,            0.031454,           0.0075163,           0.0042508,             0.62972,             0.48937,             0.53867,             0.23753,            0.065917,           0.0068636,            0.011466,            0.006238,            0.006238,            0.006238
                  59,            0.034154,           0.0086057,           0.0036662,             0.75453,             0.53958,             0.63094,             0.27304,             0.06047,           0.0069129,            0.011822,            0.006172,            0.006172,            0.006172
                  60,              0.0294,           0.0085619,           0.0033185,             0.63425,             0.51144,             0.51479,             0.22987,            0.066406,           0.0069144,            0.011326,            0.006106,            0.006106,            0.006106
                  61,            0.031035,           0.0076323,           0.0039891,              0.7346,             0.55399,             0.59086,             0.27577,            0.065205,           0.0068381,            0.011453,             0.00604,             0.00604,             0.00604
                  62,            0.031437,           0.0088007,           0.0025861,             0.71043,             0.54374,             0.56684,              0.2883,            0.065489,           0.0067433,            0.010672,            0.005974,            0.005974,            0.005974
                  63,            0.030775,           0.0085345,            0.003192,             0.71969,             0.48107,             0.56652,             0.23925,            0.069045,           0.0069812,            0.011503,            0.005908,            0.005908,            0.005908
